Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","322.455556","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","14.730184","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","376.72963","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","16.83149","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","258.440741","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-31.398881","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","315.310827","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","17.371597","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","368.212796","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","16.77772","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","252.934826","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-31.307432","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","1605.944444","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","9.398417","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","1687.533333","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","5.08043","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","1370.351852","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-18.795568","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","1559.263821","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","9.222132","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","1635.046014","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","4.860126","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","1324.430463","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-18.997358","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","786521.889855","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","14.222738","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","792966.83819","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","0.819424","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","700117.923268","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-11.709054","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","793854.75772","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","13.52392","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","800685.858777","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","0.860498","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","706933.11957","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-11.709054","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","517626.853947","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","-19.576753","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","445445.254556","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-13.944717","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","383067.158673","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-14.003538","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","millions","20489.924102","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6103","Part du PIB US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","%","3.958435","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","%","-20.568553","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","millions","18481.621751","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6103","Part du PIB US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","%","4.149022","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","%","-9.801414","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","498932.986741","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","-20.450795","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","427696.368065","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","-14.277793","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","367803.744262","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-14.003538","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","12457.940705","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","8.071874","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","13619.290546","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","9.322165","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","12641.210873","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-7.181576","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","millions","796.334359","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6103","Part du PIB US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","%","6.392183","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","%","0.504327","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","millions","904.51977","E","Valeur estimée",""
