Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2735","Viande, Autre","2019","2019","Milliers de tonnes","10","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2735","Viande, Autre","2020","2020","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2735","Viande, Autre","2019","2019","Milliers de tonnes","493","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2735","Viande, Autre","2020","2020","Milliers de tonnes","524","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2735","Viande, Autre","2019","2019","million kcal","603070.58","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2735","Viande, Autre","2020","2020","million kcal","641375.29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2735","Viande, Autre","2019","2019","g","82235.04","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2735","Viande, Autre","2020","2020","g","87150.52","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2744","Oeufs","2019","2019","Milliers de tonnes","2515","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5511","Production","S2744","Oeufs","2020","2020","Milliers de tonnes","2519","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2744","Oeufs","2019","2019","Milliers de tonnes","119","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5611","Importations - Quantité","S2744","Oeufs","2020","2020","Milliers de tonnes","97","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2744","Oeufs","2019","2019","Milliers de tonnes","2427","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","5142","Nourriture","S2744","Oeufs","2020","2020","Milliers de tonnes","2410","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2744","Oeufs","2019","2019","million kcal","3380383.24","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","661","Disponibilité alimentaire (Kcal)","S2744","Oeufs","2020","2020","million kcal","3356287.94","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2744","Oeufs","2019","2019","g","259805.15","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","671","Disponibilité de protéines en quantité (g)","S2744","Oeufs","2020","2020","g","258003.44","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","511","Population totale","S2501","Population","2019","2019","1000 personnes","889.95","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","511","Population totale","S2501","Population","2020","2020","1000 personnes","896.45","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5511","Production","S2731","Viande de Bovins","2019","2019","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5511","Production","S2731","Viande de Bovins","2020","2020","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5611","Importations - Quantité","S2731","Viande de Bovins","2019","2019","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5611","Importations - Quantité","S2731","Viande de Bovins","2020","2020","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5171","Alimentation pour touristes","S2731","Viande de Bovins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5142","Nourriture","S2731","Viande de Bovins","2019","2019","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5142","Nourriture","S2731","Viande de Bovins","2020","2020","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","661","Disponibilité alimentaire (Kcal)","S2731","Viande de Bovins","2019","2019","million kcal","5459.16","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","661","Disponibilité alimentaire (Kcal)","S2731","Viande de Bovins","2020","2020","million kcal","5408.15","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","671","Disponibilité de protéines en quantité (g)","S2731","Viande de Bovins","2019","2019","g","444.92","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","671","Disponibilité de protéines en quantité (g)","S2731","Viande de Bovins","2020","2020","g","427.42","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5511","Production","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5511","Production","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5611","Importations - Quantité","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5611","Importations - Quantité","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5171","Alimentation pour touristes","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5142","Nourriture","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","5142","Nourriture","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","661","Disponibilité alimentaire (Kcal)","S2732","Viande d'Ovins/Caprins","2019","2019","million kcal","12548.76","I","Valeur imputée"
