,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,Disponibilité alimentaire en quantité (kg/personne/an) autre viandes,Disponibilité de protéines en quantité (g/personne/jour) autre viandes,Disponibilité alimentaire en quantité (kg/personne/an) volailles,Disponibilité de protéines en quantité (g/personne/jour) volailles,Femmes,Hommes,Population rurale,Population totale,Population urbaine
162,Tchad,-0.882135,-3.79812,11271.66391,706.825833,0.48,0.16,0.48,0.16,8032.044,8094.822,12132.857,16126.866,3681.488
163,Tchéquie,1.425157,1.201872,252498.032247,23621.769604,22.89,7.8,22.89,7.8,5347.6,5189.271,2772.368,10536.871,7858.221
164,Thaïlande,7.432309,7.128139,544263.738706,7817.008104,11.25,3.85,11.25,3.85,36584.375,34723.388,34173.268,71307.763,35132.892
165,Timor-Leste,29.298723,26.784479,2047.931733,1583.714827,9.0,3.06,9.0,3.06,627.425,653.013,933.843,1280.438,418.517
166,Togo,-1.135427,-3.499568,6894.331919,853.009121,8.22,2.79,8.22,2.79,4101.08,4142.015,4727.819,8243.094,3458.565
167,Trinité-et-Tobago,0.275425,-0.093337,23886.519296,17123.284319,63.57,19.39,63.57,19.39,768.058,751.897,643.884,1519.955,731.559
168,Tunisie,-1.447559,-2.539019,39195.271092,3351.535945,17.33,6.43,17.33,6.43,6086.59,5962.724,3622.883,12049.314,8160.285
169,Turkménistan,13.497437,11.755692,43460.686357,7314.041637,5.27,1.78,5.27,1.78,3108.189,3050.231,2849.593,6158.42,3092.968
170,Turquie,-2.244753,-3.521362,761001.835674,9121.483249,20.66,6.99,20.66,6.99,41614.734,41866.95,20217.893,83481.684,62743.912
171,Ukraine,17.591538,18.266499,153929.552493,3498.90483,26.68,9.0,26.68,9.0,23730.427,20480.667,13369.27,44211.094,30425.95
172,Uruguay,-5.090174,-5.431487,61231.193299,17688.012221,20.74,6.53,20.74,6.53,1769.262,1659.147,159.283,3428.409,3322.873
173,Vanuatu,2.13606,-0.316851,934.239701,3115.357712,15.61,5.51,15.61,5.51,151.256,153.149,214.878,304.404,73.139
174,Venezuela (République bolivarienne du),-26.421968,-25.463949,150131.355479,5264.842747,17.02,6.06,17.02,6.06,14605.811,14365.872,3854.999,28971.683,28924.869
175,Viet Nam,6.813465,5.79901,261921.229201,2715.275874,13.8,4.48,13.8,4.48,48488.283,47288.433,61742.331,95776.716,35686.73
176,Yémen,10.231443,7.724414,25246.23812,865.726138,11.32,4.03,11.32,4.03,15593.113,15953.578,18554.546,31546.691,11025.44
177,Zambie,-11.410254,-13.936464,23309.720448,1305.06026,2.8,0.94,2.8,0.94,9314.079,9066.397,10143.883,18380.477,7993.486
178,Zimbabwe,-9.775124,-11.048311,21935.075306,1497.738092,4.69,1.58,4.69,1.58,8122.618,7231.989,11725.97,15354.608,5571.525
179,Égypte,27.070238,24.583625,317359.293188,3161.324684,16.57,5.85,16.57,5.85,52189.268,53429.404,57939.247,105618.671,43229.498
180,Émirats arabes unis,-1.184108,-2.595673,417215.559513,42701.429934,33.18,11.21,33.18,11.21,2767.844,6443.813,1279.098,9211.657,8402.99
181,Équateur,0.507615,-1.166025,108108.009,6222.522862,18.55,5.91,18.55,5.91,8670.974,8672.767,6158.51,17343.74,10941.934
182,États-Unis d'Amérique,4.118558,3.495662,21372582.0,64949.439748,58.38,20.84,58.38,20.84,168620.84,165698.83,57727.196,334319.671,271365.914
183,Éthiopie,15.398956,12.460084,92561.902026,825.865015,0.53,0.18,0.53,0.18,56745.161,57375.433,86759.295,114120.594,23376.34
