,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,distance_to_france,country,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes),"Inflation, consumer prices (annual %)",Agricultural land (% of land area),CO2 emissions (kt),Container port traffic (TEU: 20 foot equivalent units),Population density (people per sq. km of land area),Merchandise exports (current US$),Merchandise imports (current US$),Rail lines (total route-km),country_code,Revenu National,PIB Domestique,Revenu national avant impôt - p0p50,Revenu national avant impôt - p90p100,Revenu national avant impôt - p99p100
52,Guinée-Bissau,-4.353405,-6.674659,1322.269762,688.351615,4163.963849544478,GW,Africa,998.712,971.745,1098.44,1970.457,855.283,6.0,3.0,3.0,26.0,32.0,78.5,1.0,0.0,10.0,0.246600268147853,28.9868421052632,325.3,28699.98,70.0731507823613,249000000,335000000,2977.5,GW,2832.3574,3186.5893,0.1543,0.4409,0.1196
53,Géorgie,-0.696658,-0.543185,17476.97647,4372.780604,3267.3330429048156,GE,Asia,1996.062,1774.749,1599.187,3770.811,2305.017,73.0,54.0,23.0,21.0,570.0,101.0,133.0,90.0,207.0,4.85289821696731,34.1430421643402,10549.6,601491,65.0855698239966,3798000000,9520000000,1378,GE,13073.0894,16156.758,0.139,0.4903,0.2111
54,Haïti,-11.473795,-12.573382,14006.805987,1243.603856,7318.944938016863,HT,Americas,5625.31,5535.128,4925.256,11160.438,6317.6,110.0,100.0,9.0,59.0,418.0,0.0,14.0,99.0,195.0,18.7037825672506,66.7634252539913,3317.34,177075.5,404.950580551524,1200000000,4513000000,2977.5,HT,4337.9012,4430.8211,0.1039,0.5179,0.183
55,Honduras,4.247122,2.550746,25089.937109,2574.352135,8677.07542678826,HN,Americas,4927.035,5031.794,4044.696,9958.829,5523.992,226.0,15.0,213.0,10.0,363.0,1.0,500.0,746.0,589.0,4.36587159819272,31.3790329788185,10196.4,790707,89.0055322191438,8788000000,12149000000,2977.5,HN,6919.9401,7853.0006,0.1039,0.5179,0.183
56,Hongrie,1.830572,2.070515,163526.491433,16885.070887,1319.989936023051,HU,Europe,5093.203,4678.593,2737.853,9771.796,6917.508,322.0,76.0,532.0,1023.0,337.0,5378.0,2488.0,185.0,8230.0,3.3385863538201,57.8347578347578,47261.8,1229081.0,107.069263642341,123796000000,120590000000,7587.7,HU,24501.263,30265.2848,0.2236,0.3289,0.1143
57,Inde,4.657558,3.602458,2889949.137794,2114.982134,7368.90118144203,IN,Asia,668786.993,714325.057,896909.218,1383112.05,471828.295,4382.0,0.0,4387.0,2603.0,36.0,103596.0,14917.0,323.0,27715.0,3.72950573539126,60.2198133654425,2423951.4,17487621,465.194639427685,324340000000,486059000000,67414.07,IN,7823.4284,8849.5944,0.1313,0.5713,0.2173
58,Indonésie,7.370414,6.198011,1119091.262196,4135.201528,11721.53397515014,ID,Asia,133784.436,135798.442,118636.092,269582.878,150900.39,3966.0,0.0,3975.0,0.0,10976.0,0.0,1894.0,1784.0,19650.0,3.03058664969491,33.1820876379946,605290.6,12111471,143.584633764026,167683000000,171276000000,5483,ID,12565.1227,16288.8186,0.1245,0.4686,0.1785
59,Irlande,3.656838,2.302239,399122.063647,81745.514055,1093.8289753303984,IE,Europe,2470.88,2425.139,1773.798,4896.019,3073.341,135.0,95.0,154.0,786.0,967.0,595.0,1449.0,1548.0,0.0,0.939044481054341,65.6699085498621,35812.2,1063489,71.6263608651473,169625000000,101104000000,1888,IE,43607.6977,97075.6571,0.1967,0.3685,0.1271
60,Islande,-5.365363,-6.012393,24857.740445,73319.963204,2447.128366501924,IS,Europe,175.786,184.988,20.929,360.774,319.637,11.0,2.0,10.0,18.0,58.0,0.0,17.0,23.0,0.0,3.01397179156056,18.565903005058,1638.2,330292,3.5759496181692,5223000000,6567000000,2977.5,IS,52792.7818,61678.4424,0.2567,0.2803,0.0801
61,Israël,6.501774,4.778357,397934.603686,46709.354884,3265.2651664575224,IL,Asia,4320.34,4287.58,643.684,8607.919,7940.232,599.0,0.0,617.0,850.0,1813.0,85.0,1400.0,1727.0,78.0,0.849783128264134,29.5009242144177,62796.3,2917000,418.391866913124,58507000000,76591000000,1598.916,IL,46242.8714,54589.5945,0.1317,0.478,0.1604
