Zone,PIB Valeur US $,Céréales - Disponibilité intérieure (Milliers de tonnes),Fruits - Disponibilité intérieure (Milliers de tonnes),Légumes - Disponibilité intérieure (Milliers de tonnes),Poisson - Disponibilité intérieure (Milliers de tonnes),Viande - Disponibilité intérieure (Milliers de tonnes),distance_to_france,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes)
Géorgie,17476.97647,1029.0,457.0,343.0,388.31,147.0,3267.3330429048156,Asia,1996.062,1774.749,1599.187,3770.811,2305.017,73.0,54.0,23.0,21.0,570.0,101.0,133.0,90.0,207.0
Haïti,14006.805987,1736.0,1282.0,214.0,265.93,209.0,7318.944938016863,Americas,5625.31,5535.128,4925.256,11160.438,6317.6,110.0,100.0,9.0,59.0,418.0,0.0,14.0,99.0,195.0
Honduras,25089.937109,1888.0,651.0,312.0,380.01,338.0,8677.07542678826,Americas,4927.035,5031.794,4044.696,9958.829,5523.992,226.0,15.0,213.0,10.0,363.0,1.0,500.0,746.0,589.0
Hongrie,163526.491433,10803.0,1339.0,1073.0,943.29,872.0,1319.989936023051,Europe,5093.203,4678.593,2737.853,9771.796,6917.508,322.0,76.0,532.0,1023.0,337.0,5378.0,2488.0,185.0,8230.0
Inde,2889949.137794,293024.0,99657.0,132942.0,18663.93,6991.0,7368.90118144203,Asia,668786.993,714325.057,896909.218,1383112.05,471828.295,4382.0,0.0,4387.0,2603.0,36.0,103596.0,14917.0,323.0,27715.0
Indonésie,1119091.262196,88556.0,20161.0,13253.0,17835.170000000002,5130.0,11721.53397515014,Asia,133784.436,135798.442,118636.092,269582.878,150900.39,3966.0,0.0,3975.0,0.0,10976.0,0.0,1894.0,1784.0,19650.0
Irlande,399122.063647,4596.0,436.0,445.0,433.96,335.0,1093.8289753303984,Europe,2470.88,2425.139,1773.798,4896.019,3073.341,135.0,95.0,154.0,786.0,967.0,595.0,1449.0,1548.0,0.0
Islande,24857.740445,95.0,30.0,26.0,135.19,32.0,2447.128366501924,Europe,175.786,184.988,20.929,360.774,319.637,11.0,2.0,10.0,18.0,58.0,0.0,17.0,23.0,0.0
Israël,397934.603686,4454.0,1098.0,1353.0,1086.35,862.0,3265.2651664575224,Asia,4320.34,4287.58,643.684,8607.919,7940.232,599.0,0.0,617.0,850.0,1813.0,85.0,1400.0,1727.0,78.0
Italie,2009383.867307,27032.0,14868.0,6941.0,6487.64,4502.0,957.6583683886114,Europe,30637.674,29090.258,17329.18,59727.932,41887.345,1200.0,94.0,1358.0,1271.0,8060.0,6739.0,11384.0,6578.0,6279.0
